"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"489" "2019-03-30" 649 352 242 3.42603865421168 0.569595853377416 2.8530400644326 0.497622599205341 NA
"488" "2019-03-23" 618 318 235 3.29119131711822 0.512640621866393 2.82045805645227 0.46759776183798 NA
"487" "2019-03-16" 243 156 75 3.39030546189891 0.543632414430963 2.92240696086789 0.485330813317314 NA
"486" "2019-03-09" 636 345 232 3.3210313240296 0.571776557115125 2.88444415350696 0.517603361782827 NA
"485" "2019-03-02" 650 341 250 3.40073899431784 0.5526426908694 2.86646239654192 0.459287367798489 NA
"484" "2019-02-23" 668 328 271 3.40879169485535 0.573294735705448 2.86963805061174 0.483948079323295 NA
"483" "2019-02-16" 702 370 279 3.38297288802032 0.670681238334513 2.83596217676449 0.503012343848918 NA
"482" "2019-02-09" 469 239 193 3.27978552125229 0.575214015721427 2.75527761235952 0.464989633767654 NA
"481" "2019-01-26" 683 363 260 3.35811202945757 0.589832633057672 2.86772436688421 0.466155540580267 NA
"480" "2019-01-19" 728 388 259 3.39065143364093 0.622318225125531 2.83319002176188 0.50529081288948 NA
"479" "2019-01-12" 801 411 330 3.29696813357397 0.603080672092938 2.73731103708491 0.475245856752441 NA
"478" "2019-01-05" 815 419 320 3.39725044490048 0.626354056451024 2.84322372104351 0.508130839422723 NA
"477" "2018-12-29" 624 323 256 3.2266129526071 0.584951769866746 2.77226353391903 0.482631131762132 NA
"476" "2018-12-25" 867 414 342 3.39719528281373 0.657566107300793 2.95792531670451 0.543653180217547 NA
"475" "2018-12-22" 646 347 245 3.40819227073508 0.632040930557092 2.95521941620214 0.51049218117371 NA
"474" "2018-12-15" 418 247 136 3.38737679188285 0.646267319099839 2.95205505167195 0.486478365762442 NA
"473" "2018-12-08" 453 251 169 3.32624624569512 0.581737480585903 2.84346096130931 0.470292819659468 NA
"472" "2018-12-01" 553 310 196 3.51715704828893 0.64737922050282 2.97540327446676 0.490063817726499 NA
"471" "2018-11-24" 593 321 222 3.40981667194215 0.62869918610075 2.88334370554464 0.484672819339505 NA
"470" "2018-11-17" 680 366 258 3.45899763017129 0.651522051822259 2.91844855383658 0.500562151710221 NA
"469" "2018-11-10" 606 336 222 3.46919807838611 0.609110705704308 2.89416732653339 0.465177958348432 NA
"468" "2018-11-03" 419 216 168 3.40655009320514 0.619886545249533 2.91655288678794 0.508947482724914 NA
"467" "2018-10-27" 540 298 212 3.35617367912135 0.565649626681219 2.87626186784816 0.50156776793009 NA
"466" "2018-10-20" 593 326 227 3.45163473156663 0.624537738330335 2.94380508604611 0.443833326070544 NA
"465" "2018-10-13" 407 237 131 3.38306628082556 0.577937894489849 2.91839769653521 0.48569366690754 NA
"464" "2018-10-06" 640 323 263 3.4235783361169 0.598417199182081 2.86496270436917 0.492956971284579 NA
"463" "2018-09-29" 517 273 196 3.3300586463818 0.617798888645975 2.80176575620114 0.499954390563877 NA
"462" "2018-09-22" 436 231 171 3.34478460910119 0.578364814662002 2.85396746590522 0.4465497458351 NA
"461" "2018-09-15" 554 305 206 3.42242541717793 0.60750887338607 2.85617539298031 0.443614176733341 NA
"460" "2018-09-08" 544 272 225 3.37790872859975 0.638432903060347 2.90193279127163 0.479900836529982 NA
"459" "2018-09-01" 629 343 233 3.37609527890525 0.629244447028823 2.86479574106444 0.523729505470947 NA
