"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD"
"337" "2019-02-16" NA NA NA NA NA NA NA
"336" "2019-02-09" NA NA NA NA NA NA NA
"335" "2019-02-02" NA NA NA NA NA NA NA
"334" "2019-01-26" NA NA NA NA NA NA NA
"333" "2019-01-12" NA NA NA NA NA NA NA
"332" "2019-01-05" NA NA NA NA NA NA NA
"331" "2019-01-01" NA NA NA NA NA NA NA
"330" "2018-12-29" NA NA NA NA NA NA NA
"329" "2018-12-22" NA NA NA NA NA NA NA
"328" "2018-12-15" NA NA NA NA NA NA NA
"327" "2018-12-08" NA NA NA NA NA NA NA
"326" "2018-12-01" NA NA NA NA NA NA NA
"325" "2018-11-24" NA NA NA NA NA NA NA
"324" "2018-11-17" NA NA NA NA NA NA NA
"323" "2018-11-10" NA NA NA NA NA NA NA
"322" "2018-11-03" NA NA NA NA NA NA NA
"321" "2018-10-27" NA NA NA NA NA NA NA
"320" "2018-10-20" NA NA NA NA NA NA NA
"319" "2018-10-13" NA NA NA NA NA NA NA
"318" "2018-10-06" NA NA NA NA NA NA NA
"317" "2018-09-29" NA NA NA NA NA NA NA
"316" "2018-09-22" NA NA NA NA NA NA NA
"315" "2018-09-15" NA NA NA NA NA NA NA
"314" "2018-09-08" NA NA NA NA NA NA NA
"313" "2018-09-01" NA NA NA NA NA NA NA
"312" "2018-08-25" NA NA NA NA NA NA NA
"311" "2018-08-18" NA NA NA NA NA NA NA
"310" "2018-08-11" NA NA NA NA NA NA NA
"309" "2018-08-04" NA NA NA NA NA NA NA
"308" "2018-07-28" NA NA NA NA NA NA NA
"307" "2018-07-21" NA NA NA NA NA NA NA
"306" "2018-07-14" NA NA NA NA NA NA NA
"305" "2018-06-30" NA NA NA NA NA NA NA
"304" "2018-06-23" NA NA NA NA NA NA NA
"303" "2018-06-16" NA NA NA NA NA NA NA
"302" "2018-06-09" NA NA NA NA NA NA NA
"301" "2018-06-02" NA NA NA NA NA NA NA
"300" "2018-05-26" NA NA NA NA NA NA NA
"299" "2018-05-19" NA NA NA NA NA NA NA
"298" "2018-05-12" NA NA NA NA NA NA NA
"297" "2018-05-05" NA NA NA NA NA NA NA
"296" "2018-04-28" NA NA NA NA NA NA NA
"295" "2018-04-21" NA NA NA NA NA NA NA
"294" "2018-04-14" NA NA NA NA NA NA NA
"293" "2018-04-07" NA NA NA NA NA NA NA
"292" "2018-03-31" NA NA NA NA NA NA NA
"291" "2018-03-24" NA NA NA NA NA NA NA
"290" "2018-03-17" NA NA NA NA NA NA NA
"289" "2018-03-10" NA NA NA NA NA NA NA
"288" "2018-02-24" NA NA NA NA NA NA NA
"287" "2018-02-17" NA NA NA NA NA NA NA
"286" "2018-02-10" NA NA NA NA NA NA NA
"285" "2018-02-03" NA NA NA NA NA NA NA
"284" "2018-01-27" NA NA NA NA NA NA NA
"283" "2018-01-13" NA NA NA NA NA NA NA
"282" "2018-01-06" NA NA NA NA NA NA NA
"281" "2017-12-23" NA NA NA NA NA NA NA
"280" "2017-12-16" NA NA NA NA NA NA NA
"279" "2017-12-09" NA NA NA NA NA NA NA
"278" "2017-12-02" NA NA NA NA NA NA NA
"277" "2017-11-25" NA NA NA NA NA NA NA
"276" "2017-11-18" NA NA NA NA NA NA NA
"275" "2017-11-11" NA NA NA NA NA NA NA
"274" "2017-10-28" NA NA NA NA NA NA NA
"273" "2017-10-21" NA NA NA NA NA NA NA
"272" "2017-10-14" NA NA NA NA NA NA NA
"271" "2017-10-07" NA NA NA NA NA NA NA
"270" "2017-09-30" NA NA NA NA NA NA NA
"269" "2017-09-23" 415 223 174 3.30164166853782 0.625256958253418 2.76565534400005 0.49519508358327
"268" "2017-09-16" 459 239 191 3.32582888379178 0.580284984623328 2.77789712452746 0.44289230071978
"267" "2017-09-09" 373 184 175 3.31268047149784 0.667204115369955 2.63311221596578 0.474898897791139
"266" "2017-09-02" 337 179 143 3.26135243312195 0.586180307430848 2.72797589319225 0.471240102710703
