"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"312" "2019-05-18" NA NA NA NA NA NA NA NA
"311" "2019-05-11" NA NA NA NA NA NA NA NA
"310" "2019-05-04" NA NA NA NA NA NA NA NA
"309" "2019-04-27" NA NA NA NA NA NA NA NA
"308" "2019-04-20" NA NA NA NA NA NA NA NA
"307" "2019-04-13" NA NA NA NA NA NA NA NA
"306" "2019-04-06" NA NA NA NA NA NA NA NA
"305" "2019-03-30" NA NA NA NA NA NA NA NA
"304" "2019-03-23" NA NA NA NA NA NA NA NA
"303" "2019-03-16" NA NA NA NA NA NA NA NA
"302" "2019-03-09" NA NA NA NA NA NA NA NA
"301" "2019-03-02" NA NA NA NA NA NA NA NA
"300" "2019-02-23" NA NA NA NA NA NA NA NA
"299" "2019-02-16" NA NA NA NA NA NA NA NA
"298" "2019-02-09" NA NA NA NA NA NA NA NA
"297" "2019-01-26" NA NA NA NA NA NA NA NA
"296" "2019-01-19" NA NA NA NA NA NA NA NA
"295" "2019-01-12" NA NA NA NA NA NA NA NA
"294" "2019-01-05" NA NA NA NA NA NA NA NA
"293" "2018-12-29" NA NA NA NA NA NA NA NA
"292" "2018-12-22" NA NA NA NA NA NA NA NA
"291" "2018-12-15" NA NA NA NA NA NA NA NA
"290" "2018-12-08" NA NA NA NA NA NA NA NA
"289" "2018-12-01" NA NA NA NA NA NA NA NA
"288" "2018-11-24" NA NA NA NA NA NA NA NA
"287" "2018-11-17" NA NA NA NA NA NA NA NA
"286" "2018-11-10" NA NA NA NA NA NA NA NA
"285" "2018-11-03" NA NA NA NA NA NA NA NA
"284" "2018-10-27" NA NA NA NA NA NA NA NA
"283" "2018-10-20" NA NA NA NA NA NA NA NA
"282" "2018-10-13" NA NA NA NA NA NA NA NA
"281" "2018-10-06" NA NA NA NA NA NA NA NA
"280" "2018-09-29" NA NA NA NA NA NA NA NA
"279" "2018-09-22" NA NA NA NA NA NA NA NA
"278" "2018-09-15" NA NA NA NA NA NA NA NA
"277" "2018-09-01" NA NA NA NA NA NA NA NA
"276" "2018-08-25" NA NA NA NA NA NA NA NA
"275" "2018-08-18" NA NA NA NA NA NA NA NA
"274" "2018-08-11" NA NA NA NA NA NA NA NA
"273" "2018-08-04" NA NA NA NA NA NA NA NA
"272" "2018-07-28" NA NA NA NA NA NA NA NA
"271" "2018-07-21" NA NA NA NA NA NA NA NA
"270" "2018-07-14" NA NA NA NA NA NA NA NA
"269" "2018-07-07" NA NA NA NA NA NA NA NA
"268" "2018-06-30" NA NA NA NA NA NA NA NA
"267" "2018-06-23" NA NA NA NA NA NA NA NA
"266" "2018-06-16" NA NA NA NA NA NA NA NA
"265" "2018-06-09" NA NA NA NA NA NA NA NA
"264" "2018-06-02" NA NA NA NA NA NA NA NA
"263" "2018-05-26" NA NA NA NA NA NA NA NA
"262" "2018-05-19" NA NA NA NA NA NA NA NA
